TPR@1%FPR,blurring,,,,,,TPR@1%FPR,"brightness
",,,,,,TPR@1%FPR,"compression
",,,,,,TPR@1%FPR,"contrast
",,,,,,TPR@1%FPR,"noise
",,,,
,1,3,5,7,9,,,1.2,1.4,1.6,1.8,2,,,10,25,40,55,70,,,1.2,1.4,1.6,1.8,2,,,0.02,0.04,0.06,0.08,0.1
MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1,,MBRS,0.999,1,1,1,1,,MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1
CIN,1,1,1,1,0.743,,CIN,1,1,1,1,0.999,,CIN,0.941,1,1,1,1,,CIN,1,1,1,1,1,,CIN,1,1,1,1,1
PIMoG,1,1,1,1,1,,PIMoG,1,0.996,0.995,0.987,0.97,,PIMoG,0.969,1,1,1,1,,PIMoG,1,1,0.999,0.999,0.996,,PIMoG,1,1,1,1,0.985
RivaGAN,0.998,0.994,0.782,0.032,0.001,,RivaGAN,0.998,0.996,0.996,0.994,0.991,,RivaGAN,0.282,0.941,0.989,0.996,0.997,,RivaGAN,0.998,1,0.999,0.998,0.997,,RivaGAN,0.999,0.999,0.998,0.982,0.938
SepMark,1,1,1,1,0.993,,SepMark,1,0.997,0.992,0.987,0.985,,SepMark,0.995,1,1,1,1,,SepMark,0.999,0.999,0.999,0.999,0.998,,SepMark,1,1,1,1,1
DWTDCT,0.419,0.024,0.009,0.006,0.001,,DWTDCT,0.786,0.717,0.275,0.025,0.001,,DWTDCT,0.006,0.009,0.009,0.015,0.036,,DWTDCT,0.788,0.723,0.432,0.069,0.011,,DWTDCT,0.761,0.727,0.51,0.082,0.001
DWTDCTSVD,1,0.659,0.2,0.04,0.004,,DWTDCTSVD,0.548,0.383,0.203,0.186,0.059,,DWTDCTSVD,0,0.131,0.067,0.656,0.895,,DWTDCTSVD,0.574,0.439,0.249,0.202,0.082,,DWTDCTSVD,1,0.999,0.997,0.99,0.737
SSL,1,0.993,0,0,0,,SSL,1,0.993,0.981,0.953,0.908,,SSL,0.034,0.312,0.72,0.935,0.992,,SSL,1,1,0.998,0.995,0.99,,SSL,0.999,0.903,0.453,0.148,0.059
StegaStamp,1,1,0.986,0.891,0.73,,StegaStamp,1,1,1,0.996,0.994,,StegaStamp,0.984,1,1,1,1,,StegaStamp,1,1,1,0.999,0.999,,StegaStamp,1,1,1,1,1
TrustMark_C,1,1,1,0.949,0.512,,TrustMark_C,1,0.998,0.995,0.985,0.972,,TrustMark_C,0.99,1,1,1,1,,TrustMark_C,1,1,1,0.999,0.996,,TrustMark_C,1,1,1,1,1
EditGuard,0.429,0.047,0.005,0.003,0.005,,EditGuard,1,1,0.999,0.997,0.992,,EditGuard,0.34,0.878,0.985,1,1,,EditGuard,1,1,1,1,1,,EditGuard,1,1,1,1,1
VINE-R,1,1,1,1,1,,VINE-R,1,1,0.997,0.995,0.996,,VINE-R,0.999,1,1,1,1,,VINE-R,1,1,1,1,1,,VINE-R,1,1,1,1,1
VINE-B,1,1,1,1,0.994,,VINE-B,1,0.995,0.993,0.989,0.987,,VINE-B,0.996,1,1,1,1,,VINE-B,1,1,1,1,1,,VINE-B,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPR@0.1%FPR,blurring,,,,,,TPR@0.1%FPR,"brightness
",,,,,,TPR@0.1%FPR,"compression
",,,,,,TPR@0.1%FPR,"contrast
",,,,,,TPR@0.1%FPR,"noise
",,,,
,1,3,5,7,9,,,1.2,1.4,1.6,1.8,2,,,10,25,40,55,70,,,1.2,1.4,1.6,1.8,2,,,0.02,0.04,0.06,0.08,0.1
MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1,,MBRS,0.997,1,1,1,1,,MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1
CIN,1,1,1,1,0.452,,CIN,1,1,1,1,0.999,,CIN,0.8,0.999,1,1,1,,CIN,1,1,1,1,1,,CIN,1,1,1,1,1
PIMoG,1,1,1,1,1,,PIMoG,0.998,0.992,0.985,0.969,0.953,,PIMoG,0.94,1,1,1,1,,PIMoG,1,1,0.998,0.997,0.991,,PIMoG,1,1,1,0.998,0.943
