Ultra edit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPR@1%FPR,,,,,,TPR@0.1%FPR,,,,,,Bit Acc,,,,,,AUROC,,,,,,folder path of watermarked imgs,folder path of csv (encoding),folder path of csv (decoding)
,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,,,
MBRS,0.228,0.208,0.186,0.164,0.138,,0.099,0.077,0.082,0.054,0.063,,0.6738,0.670233333,0.6589,0.6481,0.647566667,,0.857557,0.8606655,0.8334895,0.8190075,0.8223535,,,,
CIN,0.274,0.242,0.222,0.198,0.201,,0.196,0.185,0.164,0.153,0.152,,0.645266667,0.6355,0.6254,0.618466667,0.614733333,,0.7770485,0.762325,0.7529205,0.7434445,0.7417365,,,,
PIMoG,0.596,0.55,0.499,0.47,0.421,,0.488,0.436,0.385,0.363,0.335,,0.781566667,0.752933333,0.728666667,0.718266667,0.697033333,,0.8822275,0.8601285,0.829204,0.8167785,0.788711,,,,
RivaGAN,0.079,0.067,0.062,0.056,0.054,,0.053,0.046,0.043,0.032,0.033,,0.527875,0.522375,0.5141875,0.50821875,0.5043125,,0.5889905,0.582111,0.558347,0.550034,0.5398485,,,,
SepMark,0.685,0.647,0.582,0.541,0.5,,0.61,0.571,0.506,0.479,0.426,,0.8298,0.816433333,0.786233333,0.762166667,0.743766667,,0.9082515,0.902443,0.8716275,0.8330705,0.8179175,,,,
Trustmark,0.534,0.465,0.423,0.384,0.357,,0.478,0.426,0.377,0.344,0.306,,0.70085,0.67628,0.65905,0.6434,0.63111,,0.792554,0.7512325,0.7401295,0.7035115,0.699327,,,,
DWTDCT,0.007,0.009,0.009,0.009,0.01,,0.001,0,0.002,0,0,,0.4909,0.491666667,0.490866667,0.490733333,0.4918,,0.5015595,0.5073855,0.498754,0.5010985,0.5066615,,,,
DWTDCTSVD,0.066,0.069,0.049,0.055,0.05,,0.05,0.046,0.035,0.039,0.031,,0.518966667,0.516266667,0.509433333,0.5101,0.5119,,0.511329,0.506509,0.494725,0.4963085,0.5118805,,,,
