,TPR@1%FPR,,,,,,TPR@0.1%FPR,,,,,,Bit Acc,,,,,,AUROC,,,,,,folder path of watermarked imgs,folder path of csv (encoding),folder path of csv (decoding)
,15,25,35,45,,,15,25,35,45,,,15,25,35,45,,,15,25,35,45,,,,,
MBRS,0.986,0.999,1,1,,,0.981,0.996,0.998,0.999,,,0.984667,0.996366667,0.9983,0.999033333,,,0.998209,0.9998165,0.999991,0.999999,,,,,
CIN,0.435,0.646,0.787,0.856,,,0.272,0.476,0.609,0.709,,,0.6998,0.7664,0.809633333,0.8375,,,0.9045685,0.949468,0.972399,0.9790965,,,,,
PIMoG,0.593,0.819,0.887,0.921,,,0.443,0.701,0.821,0.882,,,0.751933333,0.851633333,0.894466667,0.9235,,,0.9227335,0.9716805,0.981757,0.9875725,,,,,
RivaGAN,0.114,0.357,0.489,0.582,,,0.01,0.087,0.164,0.239,,,0.58075,0.65240625,0.68821875,0.71415625,,,0.7566005,0.8705385,0.9066635,0.9318985,,,,,
SepMark,0.607,0.915,0.955,0.969,,,0.402,0.786,0.864,0.902,,,0.789133333,0.917466667,0.944233333,0.956966667,,,0.924664,0.9922835,0.997067,0.9978795,,,,,
Trustmark,0.084,0.433,0.737,0.908,,,0.024,0.253,0.571,0.804,,,0.54506,0.62813,0.71755,0.79975,,,0.6529385,0.848782,0.95188,0.984702,,,,,
DWTDCT,0.005,0.002,0.005,0.007,,,0,0,0,0,,,0.4895,0.487233333,0.487633333,0.4886,,,0.498459,0.4811595,0.4798935,0.484823,,,,,
DWTDCTSVD,0.018,0.016,0.032,0.031,,,0.009,0.007,0.018,0.023,,,0.481,0.468466667,0.477166667,0.4806,,,0.402903,0.3515355,0.363435,0.373064,,,,,
SSL,0.077,0.236,0.411,0.542,,,0.007,0.042,0.121,0.218,,,0.572833333,0.6412,0.687866667,0.724066667,,,0.744942,0.866192,0.92241,0.945143,,,,,
StegaStamp,0.84,0.978,0.992,0.998,,,0.749,0.963,0.983,0.99,,,0.746,0.887,0.934,0.955,,,0.9669045,0.9977385,0.9973955,0.999835,,,,,
EditGuard,0.015,0.017,0.017,0.019,,,0.007,0.007,0.005,0.005,,,0.50646875,0.504328125,0.504390625,0.50440625,,,0.53085,0.521709,0.5204765,0.521685,,,,,
VINE-R,0.999,1,1,1,,,0.999,1,1,1,,,0.9179,0.9553,0.9687,0.9753,,,0.9994,1,1,1,,,,,
VINE-B,0.989,1,1,1,,,0.973,0.999,1,0.9979,,,0.849,0.9078,0.9269,0.9377,,,0.9988,1,1,1,,,,,
