TPR@1%FPR,blurring,,,,,,TPR@1%FPR,"brightness
",,,,,,TPR@1%FPR,"compression
",,,,,,TPR@1%FPR,"contrast
",,,,,,TPR@1%FPR,"noise
",,,,
,1,2,3,4,5,,,1.2,1.4,1.6,1.8,2,,,10,25,40,55,70,,,1.2,1.4,1.6,1.8,2,,,0.02,0.04,0.06,0.08,0.1
MBRS,1,1,0.922,0.057,0.004,,MBRS,1,1,1,1,1,,MBRS,0.357,0.97,0.993,0.997,0.998,,MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1
CIN,1,0.998,0.05,0.004,0.003,,CIN,1,1,1,1,1,,CIN,0.16,0.889,0.992,0.997,0.998,,CIN,1,1,1,1,1,,CIN,1,1,1,1,1
PIMoG,1,1,1,0.96,0.389,,PIMoG,1,0.997,0.995,0.984,0.973,,PIMoG,0.029,0.354,0.764,0.952,0.999,,PIMoG,1,1,1,0.999,0.997,,PIMoG,1,1,0.985,0.757,0.369
SepMark,1,0.999,0.856,0.234,0.047,,SepMark,1,0.996,0.995,0.992,0.99,,SepMark,0.943,1,1,1,1,,SepMark,1,1,1,0.999,0.999,,SepMark,1,1,1,1,1
TrustMark_C,1,1,0.999,0.817,0.367,,TrustMark_C,1,0.996,0.995,0.988,0.977,,TrustMark_C,0.627,0.999,1,1,1,,TrustMark_C,1,1,1,0.999,0.997,,TrustMark_C,1,1,1,1,0.999
StegaStamp,1,1,0.997,0.987,0.945,,StegaStamp,1,1,0.999,0.996,0.995,,StegaStamp,0.967,1,1,1,1,,StegaStamp,1,1,1,0.999,0.999,,StegaStamp,1,1,1,1,1
VINE-R,1,1,1,1,0.995,,VINE-R,1,1,0.997,0.994,0.992,,VINE-R,0.978,0.999,1,1,1,,VINE-R,1,1,1,1,1,,VINE-R,1,1,1,1,1
VINE-B,1,1,1,1,0.938,,VINE-B,0.999,0.995,0.994,0.988,0.984,,VINE-B,0.907,0.995,0.999,1,1,,VINE-B,1,1,1,1,0.999,,VINE-B,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPR@0.1%FPR,blurring,blurring,,,,,TPR@0.1%FPR,"brightness
",,,,,,TPR@0.1%FPR,"compression
",,,,,,TPR@0.1%FPR,"contrast
",,,,,,TPR@0.1%FPR,"noise
",,,,
,1,2,3,4,5,,,1.2,1.4,1.6,1.8,2,,,10,25,40,55,70,,,1.2,1.4,1.6,1.8,2,,,0.02,0.04,0.06,0.08,0.1
MBRS,1,1,0.761,0.003,0,,MBRS,1,1,1,1,1,,MBRS,0.126,0.866,0.987,0.993,0.997,,MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1
CIN,1,0.984,0.012,0,0,,CIN,1,1,1,1,1,,CIN,0.046,0.677,0.968,0.991,0.99,,CIN,1,1,1,1,1,,CIN,1,1,1,1,0.999
